"","ID","RawWeight_day0","RawWeight_day1","RawWeight_day5","RawWeight_day7","RawWeight_day10","Couple","Cohort","Plant","ExpLoc","FlowerHeads","NumButterflies","EnclCol","Sex","EmergDate","ForewingLength","ForewingDamage","RawWeightGain_day0","RawWeightGain_day1","RawWeightGain_day5","RawWeightGain_day7","RawWeightGain_day10","RelWeightGain_day0","RelWeightGain_day1","RelWeightGain_day5","RelWeightGain_day7","RelWeightGain_day10","TotalSA"
"1","Jacob10",0.5775,0.472,0.4021,0.4095,0.3549,"Jacob","A","SymEri","GH",605,1,"Black","M",238,45,"N",0,-0.1055,-0.1754,-0.168,-0.2226,0,-0.182683982683983,-0.303722943722944,-0.290909090909091,-0.385454545454545,158421.485441654
"2","Jacob11",0.538,0.4531,0.4453,0.4207,NA,"Jacob","AF","SolAlt","Field",86,2,"FBlack","F",238,47,"N",0,-0.0849,-0.0927000000000001,-0.1173,NA,0,-0.157806691449814,-0.172304832713755,-0.218029739776952,NA,147860.053078877
"3","Jacob12",0.6428,NA,0.3991,0.374,NA,"Jacob","A","BudDav","GH",4,1,"White","M",235,49,"N",0,NA,-0.2437,-0.2688,NA,0,NA,-0.379122588674549,-0.418170504044804,NA,52807.1618138847
"4","Jacob13",0.7614,0.6443,0.5537,0.502,NA,"Jacob","A","EchPur","GH",15,1,"Black","M",237,50,"N",0,-0.1171,-0.2077,-0.2594,NA,0,-0.153795639611242,-0.272786971368532,-0.340688205936433,NA,42245.7294511078
"5","Jacob14",0.6227,0.562,0.5413,0.5101,NA,"Jacob","AF","SolAlt","Field",177,1,"FBrown","M",238,50,"N",0,-0.0607,-0.0814,-0.1126,NA,0,-0.0974787216958407,-0.130721053476795,-0.180825437610406,NA,211228.647255539
"6","Jacob2",0.6939,0.5728,0.4781,0.4865,0.4071,"Jacob","A","SymEri","GH",361,1,"White","M",238,44,"Y",0,-0.1211,-0.2158,-0.2074,-0.2868,0,-0.174520824326272,-0.310995820723447,-0.298890330018735,-0.413316039775184,207339.067571068
"7","Jacob4",0.6572,0.5483,0.5051,0.5798,0.4498,"Jacob","A","SymEri","GH",386,1,"White","M",238,48,"Y",0,-0.1089,-0.1521,-0.0774,-0.2074,0,-0.165702982349361,-0.231436396835058,-0.117772367620207,-0.315581253804017,276452.090094758
"8","Jacob5",0.512,0.4382,0.3633,0.3193,NA,"Jacob","A","BudDav","GH",5,1,"Black","M",239,47,"N",0,-0.0738,-0.1487,-0.1927,NA,0,-0.144140625,-0.2904296875,-0.3763671875,NA,207339.067571068
"9","Jacob6",0.6021,0.5218,0.4336,0.4347,NA,"Jacob","AF","SolAlt","Field",45,1,"FBlack","M",237,44,"N",0,-0.0802999999999999,-0.1685,-0.1674,NA,0,-0.133366550406909,-0.279853844876266,-0.278026905829596,NA,193516.46306633
"10","Jacob7",0.5887,0.4956,0.459,0.4656,NA,"Jacob","A","EchPur","GH",20,1,"Black","F",240,50,"N",0,-0.0931,-0.1297,-0.1231,NA,0,-0.158145065398335,-0.220315950399185,-0.20910480720231,NA,179693.858561592
"12","Jacob9",0.4325,0.3753,0.3171,0.2792,NA,"Jacob","AF","EutMac","Field",10,2,"FBlack","F",239,44,"N",0,-0.0572,-0.1154,-0.1533,NA,0,-0.132254335260116,-0.266820809248555,-0.354450867052023,NA,221161.672075806
"13","MVD10",0.4991,0.4375,0.4761,0.4671,NA,"MVD","AF","EutMac","Field",13,2,"FBlack","F",237,47,"N",0,-0.0616,-0.023,-0.032,NA,0,-0.123422159887798,-0.0460829493087557,-0.064115407733921,NA,165871.254056855
"14","MVD17",0.6631,NA,0.4689,0.412,NA,"MVD","A","SymEri","GH",440,1,"Black","M",236,52,"N",0,NA,-0.1942,-0.2511,NA,0,NA,-0.292866837581059,-0.37867591615141,NA,165871.254056855
"15","MVD2",0.5062,0.4325,0.3934,0.3763,NA,"MVD","AF","EutMac","Field",12,2,"FBlack","F",238,49,"N",0,-0.0737,-0.1128,-0.1299,NA,0,-0.145594626629791,-0.222836823389964,-0.256617937574081,NA,152048.649552117
"16","MVD22",0.5668,0.5239,0.4571,0.433,NA,"MVD","AF","SolAlt","Field",50,2,"FBlack","F",239,49,"N",0,-0.0428999999999999,-0.1097,-0.1338,NA,0,-0.0756880733944953,-0.193542695836274,-0.23606210303458,NA,179693.858561592
"17","MVD24",0.5294,0.465,0.4493,0.4335,NA,"MVD","AF","SolAlt","Field",116,2,"FBlack","F",238,47,"N",0,-0.0644,-0.0801,-0.0959,NA,0,-0.121647147714394,-0.15130336229694,-0.181148469965999,NA,7350607.38468244
"18","MVD29",0.4621,NA,0.2735,0.2594,NA,"MVD","A","RudHir","GH",19,1,"White","F",235,44,"Y",0,NA,-0.1886,-0.2027,NA,0,NA,-0.408136766933564,-0.43864964293443,NA,5250433.84620175
"19","MVD4",0.4989,NA,0.2606,0.3316,NA,"MVD","A","HelHel","GH",20,1,"White","F",235,44,"N",0,NA,-0.2383,-0.1673,NA,0,NA,-0.477650831830026,-0.335337743034676,NA,NA
"20","MVD47",0.6668,0.5572,0.5107,0.4757,NA,"MVD","A","SolAlt","GH",7,1,"Black","M",237,50,"N",0,-0.1096,-0.1561,-0.1911,NA,0,-0.164367126574685,-0.234103179364127,-0.286592681463707,NA,6825564.00006227
"21","MVD49",0.4925,0.4215,0.3126,0.2615,NA,"MVD","B","HelHel","GH",41,1,"Black","M",241,40,"N",0,-0.071,-0.1799,-0.231,NA,0,-0.144162436548223,-0.365279187817259,-0.469035532994924,NA,6300520.61544209
"22","MVD50",0.4965,0.4234,0.4096,0.4352,NA,"MVD","A","EchPur","GH",13,1,"Black","M",238,46,"N",0,-0.0731,-0.0869,-0.0613,NA,0,-0.147230614300101,-0.175025176233635,-0.123464249748238,NA,7350607.38468244
"23","MVD6",0.498,0.4209,0.4163,0.3776,NA,"MVD","AF","SolAlt","Field",162,1,"FBrown","F",238,47,"N",0,-0.0771,-0.0817,-0.1204,NA,0,-0.154819277108434,-0.164056224899598,-0.241767068273092,NA,7350607.38468244
"24","MVD61",0.5563,0.4752,0.4074,0.4105,0.4311,"MVD","A","SymEri","GH",221,1,"Black","M",237,49,"N",0,-0.0811,-0.1489,-0.1458,-0.1252,0,-0.145784648570915,-0.267661333812691,-0.262088801006651,-0.225058421714902,6300520.61544209
"25","MVD65",0.5305,NA,0.3527,0.3106,NA,"MVD","A","SolAlt","GH",37,1,"Black","F",235,47,"N",0,NA,-0.1778,-0.2199,NA,0,NA,-0.335155513666352,-0.414514608859566,NA,5250433.84620175
"26","MVD71",0.6685,0.5691,0.498,0.482,NA,"MVD","A","SolAlt","GH",3,1,"Black","M",238,48,"N",0,-0.0993999999999999,-0.1705,-0.1865,NA,0,-0.14869109947644,-0.255048616305161,-0.278982797307405,NA,6825564.00006227
"27","MVD77",0.5447,0.4927,0.5044,0.4651,NA,"MVD","A","EchPur","GH",12,1,"Black","M",237,48,"N",0,-0.0519999999999999,-0.0403,-0.0795999999999999,NA,0,-0.0954653937947493,-0.0739856801909308,-0.14613548742427,NA,254283.664064181
"28","PCD10",0.4825,NA,0.3477,0.317,NA,"PCD","A","SolAlt","GH",12,1,"Black","F",234,44,"N",0,NA,-0.1348,-0.1655,NA,0,NA,-0.279378238341969,-0.34300518134715,NA,124040.811738625
"29","PCD15",0.516,0.4355,0.3847,0.3626,NA,"PCD","B","SymEri","GH",128,1,"Black","M",241,46,"N",0,-0.0805,-0.1313,-0.1534,NA,0,-0.156007751937985,-0.254457364341085,-0.297286821705426,NA,124040.811738625
"30","PCD20",0.5,NA,0.3922,0.3812,NA,"PCD","A","SymEri","GH",148,1,"Black","F",232,47,"N",0,NA,-0.1078,-0.1188,NA,0,NA,-0.2156,-0.2376,NA,105434.689977831
"31","PCD4",0.5061,0.4796,0.4766,0.3874,NA,"PCD","A","EchPur","GH",11,1,"Black","M",238,47,"N",0,-0.0265,-0.0295,-0.1187,NA,0,-0.0523611934400316,-0.0582888757162616,-0.2345386287295,NA,124040.811738625
"32","PCD41",0.6469,NA,0.4254,0.4028,NA,"PCD","A","BudDav","GH",15,1,"Black","F",234,52,"N",0,NA,-0.2215,-0.2441,NA,0,NA,-0.342402226000928,-0.377338073890864,NA,186061.217607937
"33","PCD44",0.5291,0.4567,0.4287,0.4005,NA,"PCD","A","EchPur","GH",14,1,"White","F",237,48,"Y",0,-0.0724,-0.1004,-0.1286,NA,0,-0.136836136836137,-0.18975618975619,-0.243054243054243,NA,192263.258194868
"34","PCD52",0.4322,NA,0.2538,0.2998,NA,"PCD","A","HelHel","GH",17,1,"Black","F",234,43,"N",0,NA,-0.1784,-0.1324,NA,0,NA,-0.412771864877371,-0.306339657565942,NA,74424.4870431749
"35","PCD53",0.4613,0.3889,0.2909,0.3312,NA,"PCD","B","SymEri","GH",168,1,"Black","F",240,45,"N",0,-0.0724,-0.1704,-0.1301,NA,0,-0.156947756340776,-0.369390851940169,-0.282029048341643,NA,109302.51675117
"36","PCD55",0.5427,NA,0.3795,0.343,NA,"PCD","A","HelHel","GH",20,1,"Black","F",235,46,"N",0,NA,-0.1632,-0.1997,NA,0,NA,-0.300718629076838,-0.367974940114243,NA,103549.752711634
"37","PCD71",0.6549,NA,0.4257,0.4984,NA,"PCD","A","SymEri","GH",162,1,"Black","F",235,51,"N",0,NA,-0.2292,-0.1565,NA,0,NA,-0.349977095739808,-0.238967781340663,NA,46022.1123162819
"38","PCD77",0.4791,NA,0.2972,0.2929,NA,"PCD","A","RudHir","GH",8,1,"Black","F",235,47,"N",0,NA,-0.1819,-0.1862,NA,0,NA,-0.379670214986433,-0.388645376748069,NA,120808.04483024
"39","PCD78",0.6128,NA,0.345,0.2789,NA,"PCD","A","BudDav","GH",14,1,"Black","F",234,48,"N",0,NA,-0.2678,-0.3339,NA,0,NA,-0.43701044386423,-0.544875979112272,NA,16889881.4849275
"40","PCD82",0.4767,NA,0.2866,0.2526,NA,"PCD","A","RudHir","GH",18,1,"Black","F",234,47,"N",0,NA,-0.1901,-0.2241,NA,0,NA,-0.398783301867002,-0.470106985525488,NA,4294037.66565954
"41","PCD90",0.5878,NA,0.3765,0.399,NA,"PCD","A","SolAlt","GH",5,1,"Black","M",236,46,"N",0,NA,-0.2113,-0.1888,NA,0,NA,-0.359476012249064,-0.321197686287853,NA,15458535.5963744
"42","S473",0.6218,0.4933,0.4603,0.3498,NA,NA,"B","SymEri","GH",317,1,"Black","F",243,47,"N",0,-0.1285,-0.1615,-0.272,NA,0,-0.206658089417819,-0.259729816661306,-0.437439691219042,NA,11069074.8714779
"43","S476",0.7027,0.6213,0.5238,0.497,NA,"S47","BF","SolAlt","Field",19,1,"FBlack","M",247,53,"N",0,-0.0814,-0.1789,-0.2057,NA,0,-0.11583890707272,-0.254589440728618,-0.292728048954034,NA,8206383.09437157
"44","TWA1",0.5292,0.4494,0.3787,0.3866,NA,"TWA","AF","EutMac","Field",10,2,"FBlack","F",239,46,"N",0,-0.0798,-0.1505,-0.1426,NA,0,-0.150793650793651,-0.284391534391534,-0.269463340891912,NA,2576422.59939573
"45","TWA14",0.4753,0.3709,0.2577,0.2268,NA,"TWA","A","EchPur","GH",12,1,"Black","M",238,44,"N",0,-0.1044,-0.2176,-0.2485,NA,0,-0.219650746896697,-0.457816116137177,-0.522827687776141,NA,11069074.8714779
"46","TWA17",0.4956,0.4116,0.3959,0.3761,NA,"TWA","AF","EutMac","Field",13,2,"FBlack","F",237,46,"N",0,-0.084,-0.0997,-0.1195,NA,0,-0.169491525423729,-0.201170298627926,-0.241121872477805,NA,1813038.1255007
"47","TWA21",0.4702,NA,0.3008,0.297,NA,"TWA","A","HelHel","GH",12,1,"Black","F",235,46,"N",0,NA,-0.1694,-0.1732,NA,0,NA,-0.360272224585283,-0.368353891960868,NA,4771152.96184394
"48","TWA28",0.6449,NA,0.4357,0.4396,NA,"TWA","A","SolAlt","GH",12,1,"White","M",235,48,"N",0,NA,-0.2092,-0.2053,NA,0,NA,-0.324391378508296,-0.318343929291363,NA,4771152.96184394
"49","TWA31",0.4694,0.4276,0.3586,0.3825,NA,"TWA","AF","SolAlt","Field",50,2,"FBlack","F",239,47,"N",0,-0.0418,-0.1108,-0.0869,NA,0,-0.0890498508734555,-0.236046016190882,-0.185129953131657,NA,3435230.13252764
"50","TWA38",0.5391,NA,0.3796,0.352,NA,"TWA","A","SolAlt","GH",26,1,"Black","M",235,48,"N",0,NA,-0.1595,-0.1871,NA,0,NA,-0.295863476163977,-0.347059914672603,NA,8206383.09437157
"51","TWA44",0.4913,NA,0.327,0.3383,NA,"TWA","A","SymEri","GH",249,1,"Black","M",235,44,"N",0,NA,-0.1643,-0.153,NA,0,NA,-0.334418888662732,-0.311418685121107,NA,2767268.71786948
"52","TWA46",0.7234,NA,0.4146,0.4203,NA,"TWA","A","BudDav","GH",20,1,"Black","M",234,50,"N",0,NA,-0.3088,-0.3031,NA,0,NA,-0.426873099253525,-0.418993641139066,NA,1308751.81099296
"53","TWA60",0.5399,NA,0.3649,0.4273,NA,"TWA","A","SolAlt","GH",34,1,"Black","F",233,48,"N",0,NA,-0.175,-0.1126,NA,0,NA,-0.324134098907205,-0.20855714021115,NA,545313.254580401
"54","TWA64",0.754,NA,0.4846,0.4787,NA,"TWA","A","RudHir","GH",21,1,"Black","M",234,53,"N",0,NA,-0.2694,-0.2753,NA,0,NA,-0.357294429708223,-0.365119363395225,NA,654375.905496482
"55","TWA65",0.678,NA,0.3712,0.3375,NA,"TWA","A","SymEri","GH",282,1,"Black","F",234,48,"N",0,NA,-0.3068,-0.3405,NA,0,NA,-0.452507374631268,-0.502212389380531,NA,4035318.08389497
"56","TWA66",0.4631,0.3961,0.3214,0.3451,NA,"TWA","AF","SolAlt","Field",27,1,"FBlack","F",237,46,"N",0,-0.067,-0.1417,-0.118,NA,0,-0.144677175556035,-0.305981429496869,-0.254804577844958,NA,1308751.81099296
"58","TWA81",0.6441,0.5445,0.5257,0.5053,NA,"TWA","AF","SolAlt","Field",116,2,"FBlack","F",238,46,"N",0,-0.0996,-0.1184,-0.1388,NA,0,-0.154634373544481,-0.183822387827977,-0.215494488433473,NA,3708130.13114673
"59","TWA83",0.5807,0.5258,0.5086,0.4934,NA,"TWA","A","EchPur","GH",13,1,"Black","M",238,51,"N",0,-0.0548999999999999,-0.0720999999999999,-0.0873,NA,0,-0.0945410711210607,-0.12416049595316,-0.150335801618736,NA,654375.905496482
"61","VH1",0.5273,0.4504,0.4048,0.3865,NA,NA,"AF","EutMac","Field",12,2,"FBlack","F",238,48,"N",0,-0.0769,-0.1225,-0.1408,NA,0,-0.145837284278399,-0.232315569884316,-0.267020671344586,NA,763438.556412562
"62","VH10",0.5959,0.5521,0.4832,0.4625,0.3888,NA,"BF","EutMac","Field",14,2,"FBlack","F",244,51,"N",0,-0.0438,-0.1127,-0.1334,-0.2071,0,-0.0735022654807853,-0.18912569223024,-0.223863064272529,-0.347541533814398,654375.905496482
"63","VH11",0.6462,0.5466,0.4484,0.382,0.5032,NA,"B","SolAlt","GH",5,1,"Black","M",244,46,"Y",0,-0.0996,-0.1978,-0.2642,-0.143,0,-0.154131847725163,-0.306097183534509,-0.408851748684618,-0.221293717115444,545313.254580401
"64","VH12",0.5895,0.4892,0.3855,0.3186,NA,NA,"B","HelHel","GH",30,1,"Black","F",241,48,"N",0,-0.1003,-0.204,-0.2709,NA,0,-0.170144189991518,-0.346055979643766,-0.459541984732824,NA,1090626.5091608
"65","VH13",0.6416,0.5293,0.4352,0.4766,NA,NA,"A","EchPur","GH",16,1,"White","F",240,51,"N",0,-0.1123,-0.2064,-0.165,NA,0,-0.175031172069825,-0.321695760598504,-0.25716957605985,NA,2835628.92381809
"66","VH14",0.5665,0.5329,0.475,0.4646,0.4166,NA,"BF","SolAlt","Field",36,1,"FBlack","M",244,49,"N",0,-0.0336,-0.0915,-0.1019,-0.1499,0,-0.0593115622241835,-0.161518093556929,-0.179876434245366,-0.264607237422771,327187.952748241
"67","VH16",0.5292,0.4607,0.3149,0.3236,NA,NA,"B","HelHel","GH",20,1,"Black","F",242,48,"N",0,-0.0685,-0.2143,-0.2056,NA,0,-0.129440665154951,-0.404950869236584,-0.388510959939531,NA,327187.952748241
"68","VH17",0.5321,0.4712,0.4068,0.3795,NA,NA,"BF","EutMac","Field",14,1,"FBlack","F",246,48,"N",0,-0.0609,-0.1253,-0.1526,NA,0,-0.114452170644616,-0.235482052245819,-0.286788197707198,NA,132542.773037341
"69","VH18",0.534,0.4532,0.3805,0.3255,NA,NA,"B","SolAlt","GH",6,1,"Black","M",241,46,"N",0,-0.0808,-0.1535,-0.2085,NA,0,-0.151310861423221,-0.287453183520599,-0.390449438202247,NA,28042.1073533548
"70","VH19",0.609,0.5699,0.4594,0.4384,0.3172,NA,"BF","SolAlt","Field",29,1,"FBlack","F",244,48,"Y",0,-0.0391,-0.1496,-0.1706,-0.2918,0,-0.0642036124794746,-0.245648604269294,-0.280131362889984,-0.479146141215107,32423.6866273165
"71","VH20",0.5953,0.5536,0.46,0.45,0.3905,NA,"BF","EutMac","Field",14,2,"FBlack","F",244,45,"N",0,-0.0417000000000001,-0.1353,-0.1453,-0.2048,0,-0.070048714933647,-0.227280362842264,-0.244078615823954,-0.344028221065009,36805.2659012782
"72","VH21",0.5852,0.51,0.4154,0.3737,NA,NA,"BF","EutMac","Field",NA,1,"FBlack","M",246,49,"N",0,-0.0752,-0.1698,-0.2115,NA,0,-0.128503075871497,-0.290157211209843,-0.361414900888585,NA,96394.7440271571
"73","VH22",0.5724,0.4692,0.4053,0.358,NA,NA,"A","SolAlt","GH",6,1,"Black","F",237,48,"N",0,-0.1032,-0.1671,-0.2144,NA,0,-0.180293501048218,-0.291928721174004,-0.374563242487771,NA,79087.5058950084
"76","VH25",0.5938,0.5108,0.4626,0.4769,0.5302,NA,"B","EchPur","GH",15,1,"Black","M",244,48,"N",0,-0.083,-0.1312,-0.1169,-0.0636,0,-0.139777702930279,-0.220949814752442,-0.196867632199394,-0.107106769956214,84564.4799874605
"77","VH26",0.5591,0.4549,0.4189,0.3512,NA,NA,"B","SolAlt","GH",6,1,"Black","F",243,49,"N",0,-0.1042,-0.1402,-0.2079,NA,0,-0.186370953317832,-0.25076015024146,-0.371847612233947,NA,139553.29987568
"78","VH27",0.6191,0.5321,0.5106,0.4916,NA,NA,"AF","SolAlt","Field",86,2,"FBlack","F",238,51,"N",0,-0.087,-0.1085,-0.1275,NA,0,-0.140526570828622,-0.175254401550638,-0.205944112421257,NA,48416.4509772766
"79","VH3",0.4738,0.4173,0.4151,0.3561,NA,NA,"B","SolAlt","GH",10,1,"White","F",242,46,"N",0,-0.0565,-0.0587,-0.1177,NA,0,-0.119248628113128,-0.123891937526382,-0.248417053609118,NA,54550.661960823
"81","VH5",0.6431,0.5376,0.3952,0.3329,NA,NA,"B","HelHel","GH",31,1,"White","F",243,51,"N",0,-0.1055,-0.2479,-0.3102,NA,0,-0.164049136992692,-0.385476597729747,-0.482351111802208,NA,61780.2677628598
"82","VH6",0.5941,0.5161,0.4358,0.4667,NA,NA,"B","SolAlt","GH",3,1,"Black","M",240,50,"N",0,-0.078,-0.1583,-0.1274,NA,0,-0.131291028446389,-0.266453459013634,-0.214442013129103,NA,69448.0314922927
"83","VH7",0.5708,0.5001,0.3566,0.3708,NA,NA,"B","SymEri","GH",637,1,"Black","M",242,48,"N",0,-0.0707,-0.2142,-0.2,NA,0,-0.123861247372109,-0.375262789067975,-0.350385423966363,NA,35490.7921190896
